Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
336.61	0.10132	23.387	0.042758	-0.096759	-0.092426	-0.27416	75.021	90.263	980.07	-0.26156	330.04	0.19283	liquid
337.61	0.10132	23.356	0.042815	-0.0063648	-0.0020266	-0.0060025	75.226	90.537	976.98	-0.25962	326.22	0.19264	liquid
337.63	0.10133	23.355	0.042817	-0.0043384	5.2980e-15	0.0000	75.231	90.543	976.91	-0.25958	326.14	0.19263	liquid
337.63	0.10133	0.038099	26.247	32.621	35.281	104.49	111.11	142.07	309.63	200.66	10.817	0.018965	vapor
362.61	0.10132	0.034395	29.074	34.357	37.302	110.30	47.544	58.399	331.62	85.332	11.681	0.021464	vapor
363.61	0.10132	0.034284	29.168	34.405	37.361	110.46	47.165	57.905	332.19	82.826	11.716	0.021569	vapor
364.61	0.10132	0.034175	29.261	34.453	37.418	110.62	46.828	57.462	332.75	80.460	11.750	0.021673	vapor
365.61	0.10132	0.034067	29.354	34.501	37.476	110.78	46.529	57.066	333.30	78.225	11.785	0.021778	vapor
366.61	0.10132	0.033960	29.446	34.549	37.532	110.93	46.263	56.710	333.84	76.114	11.819	0.021884	vapor
367.61	0.10132	0.033855	29.538	34.596	37.589	111.09	46.028	56.392	334.37	74.117	11.853	0.021989	vapor
368.61	0.10132	0.033750	29.629	34.643	37.645	111.24	45.819	56.107	334.90	72.228	11.888	0.022095	vapor
369.61	0.10132	0.033647	29.721	34.690	37.701	111.39	45.635	55.853	335.41	70.438	11.922	0.022202	vapor
370.61	0.10132	0.033544	29.812	34.736	37.757	111.54	45.472	55.625	335.92	68.742	11.957	0.022308	vapor
371.61	0.10132	0.033442	29.902	34.783	37.812	111.69	45.330	55.421	336.42	67.132	11.991	0.022415	vapor
372.61	0.10132	0.033342	29.993	34.829	37.868	111.84	45.205	55.240	336.92	65.603	12.025	0.022522	vapor
