Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.10132	55.500	0.018018	3.3642e-05	0.0018593	0.00012298	75.970	76.014	1402.4	-0.24141	1791.1	0.55568	liquid
274.16	0.10132	55.503	0.018017	0.076017	0.077843	0.27778	75.930	75.954	1407.4	-0.24044	1730.4	0.55821	liquid
275.16	0.10132	55.505	0.018016	0.15194	0.15377	0.55422	75.888	75.898	1412.3	-0.23949	1673.0	0.56069	liquid
276.16	0.10132	55.507	0.018016	0.22782	0.22964	0.82945	75.844	75.847	1417.0	-0.23856	1618.5	0.56311	liquid
277.16	0.10132	55.507	0.018016	0.30364	0.30546	1.1035	75.799	75.799	1421.7	-0.23764	1566.8	0.56549	liquid
278.16	0.10132	55.507	0.018016	0.37941	0.38124	1.3764	75.752	75.754	1426.2	-0.23675	1517.7	0.56782	liquid
279.16	0.10132	55.505	0.018016	0.45515	0.45697	1.6482	75.703	75.713	1430.6	-0.23587	1471.0	0.57010	liquid
280.16	0.10132	55.503	0.018017	0.53084	0.53267	1.9189	75.653	75.675	1435.0	-0.23500	1426.6	0.57234	liquid
281.16	0.10132	55.500	0.018018	0.60650	0.60832	2.1884	75.601	75.640	1439.2	-0.23415	1384.3	0.57453	liquid
282.16	0.10132	55.496	0.018019	0.68212	0.68395	2.4569	75.548	75.607	1443.3	-0.23332	1344.0	0.57668	liquid
